iter	Passed	Remaining
166	248	1241
167	249	1236
168	250	1231
169	250	1225
170	251	1219
171	252	1213
172	252	1208
173	253	1202
174	253	1196
175	254	1191
176	254	1185
177	255	1179
178	256	1174
179	256	1168
180	257	1163
181	257	1158
182	258	1152
183	258	1147
184	259	1142
185	259	1136
186	260	1131
187	260	1126
188	261	1121
189	261	1116
190	262	1111
191	263	1107
192	263	1103
193	264	1098
194	265	1094
195	265	1089
196	266	1085
197	266	1080
198	267	1076
199	268	1072
200	268	1067
201	269	1063
202	269	1059
203	270	1055
204	270	1050
205	271	1046
206	272	1042
207	272	1038
208	273	1034
209	273	1029
210	274	1025
211	274	1021
212	275	1017
213	275	1013
214	276	1010
215	277	1006
216	278	1003
217	278	999
218	279	996
219	279	992
220	280	988
221	281	985
222	281	981
223	282	977
224	282	974
225	283	970
226	284	967
227	284	963
228	285	960
229	285	956
230	286	953
231	286	949
232	287	946
233	287	942
234	288	939
235	289	935
236	289	932
237	290	928
238	290	925
239	291	922
240	291	919
241	292	916
242	293	913
243	293	910
244	294	906
245	294	903
246	295	900
247	296	897
248	296	894
249	297	891
250	297	888
251	298	885
252	299	882
253	299	880
254	300	877
255	300	874
256	301	871
257	302	869
258	302	866
259	303	863
260	303	860
261	304	857
262	305	854
263	305	851
264	306	849
265	306	847
266	307	844
267	308	841
268	309	840
269	310	838
270	310	836
271	311	833
272	312	831
273	312	828
274	313	825
275	313	823
276	314	820
277	314	817
278	315	815
279	315	812
280	316	809
281	317	807
282	317	804
283	318	801
284	318	799
285	319	796
286	319	794
287	320	791
288	320	789
289	321	787
290	322	784
291	322	782
292	323	779
293	323	777
294	324	775
295	325	773
296	325	770
297	326	768
298	326	766
299	327	763
300	327	761
301	328	758
302	328	756
303	329	754
304	330	752
305	330	749
306	331	747
307	331	745
308	332	742
309	332	740
310	333	738
311	333	735
312	334	733
313	334	731
314	335	729
315	335	727
316	336	725
317	337	723
318	337	720
319	338	718
320	338	716
321	339	714
322	340	712
323	340	710
324	341	708
325	341	706
326	342	704
327	342	702
328	343	700
329	343	698
330	344	696
331	344	694
332	345	691
333	345	689
334	346	687
335	347	685
336	347	683
337	348	681
338	348	679
339	349	678
340	349	676
341	350	674
342	351	672
343	351	670
344	352	668
345	352	666
346	353	665
347	354	663
348	354	661
349	355	659
350	355	657
351	356	655
352	356	653
353	357	652
354	357	650
355	358	648
356	358	646
357	359	644
358	359	642
359	360	640
360	360	638
361	361	637
362	361	635
363	362	633
364	363	631
365	363	629
366	364	628
367	364	626
368	365	625
369	366	623
370	366	621
371	367	620
372	367	618
373	368	616
374	369	615
375	369	613
376	370	611
377	370	610
378	371	608
379	371	606
380	372	605
381	372	603
382	373	601
383	373	599
384	374	598
385	375	596
386	375	594
387	376	593
388	376	591
389	377	589
390	377	588
391	378	586
392	378	585
393	379	583
394	380	582
395	380	580
396	381	579
397	382	577
398	382	576
399	383	574
400	383	573
401	384	572
402	385	570
403	385	568
404	386	567
405	386	565
406	387	564
407	387	562
408	388	561
409	389	559
410	389	558
411	390	557
412	390	555
413	391	554
414	392	553
415	393	552
416	394	551
417	395	550
418	395	548
419	396	547
420	397	546
421	397	544
422	398	543
423	398	542
424	399	540
425	400	539
426	400	537
427	401	536
428	401	535
429	402	533
430	403	532
431	403	530
432	404	529
433	404	527
434	405	526
435	405	524
436	406	523
437	406	521
438	407	520
439	408	519
440	408	518
441	409	516
442	410	515
443	410	514
444	411	513
445	412	512
446	412	510
447	413	509
448	414	508
449	414	506
450	415	505
451	415	504
452	416	502
453	416	501
454	417	499
455	417	498
456	418	497
457	418	495
458	419	494
459	420	493
460	420	491
461	421	490
462	421	489
463	422	487
464	422	486
465	423	485
466	424	484
467	424	482
468	425	481
469	425	480
470	426	479
471	427	477
472	427	476
473	428	475
474	429	474
475	429	472
476	430	471
477	430	470
478	431	469
479	432	468
480	432	467
481	433	465
482	434	464
483	434	463
484	435	462
485	436	461
486	437	461
487	438	460
488	439	459
489	439	457
490	440	456
491	441	455
492	441	454
493	442	453
494	443	451
